"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"2307",5.6,0.295,0.2,2.2,0.049,18,134,0.99378,3.21,0.68,10,5
"2534",6.4,0.22,0.3,11.2,0.046,53,149,0.99479,3.21,0.34,10.8,5
"1910",7.6,0.13,0.34,9.3,0.062,40,126,0.9966,3.21,0.39,9.6,5
"1637",7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,5
"638",7.4,0.28,0.25,11.9,0.053,25,148,0.9976,3.1,0.62,9.2,5
"2853",7.9,0.2,0.39,1,0.041,37,154,0.99093,3.08,0.43,11.9,5
"1894",6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,5
"3759",6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,5
"4270",7.1,0.46,0.23,13.7,0.045,44,192,0.9981,3.11,0.53,9.4,5
"4291",5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5
"1228",6.9,0.18,0.38,6.5,0.039,20,110,0.9943,3.1,0.42,10.5,5
"4151",7.6,0.48,0.31,9.4,0.046,6,194,0.99714,3.07,0.61,9.4,5
"3395",6.5,0.25,0.45,7.8,0.048,52,188,0.99576,3.2,0.53,9.1,5
"3023",8,0.74,0.21,4,0.05,24,133,0.99418,3.06,0.38,9.7,5
"950",7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5,5
"4431",8.1,0.36,0.59,13.6,0.051,60,134,0.99886,2.96,0.39,8.7,5
"2344",6.7,0.17,0.27,1.4,0.032,39,149,0.99254,3.4,0.52,10.5,5
"170",9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,5
"76",7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5
"1103",6.3,0.16,0.4,1.6,0.033,59,148,0.9914,3.44,0.53,11.4,5
"4068",6.9,0.38,0.28,8.3,0.062,22,166,0.99506,3.16,0.72,10.6,5
"2451",6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5
"2118",7.7,0.26,0.32,1.2,0.04,26,117,0.993,3.21,0.56,10.8,5
"115",6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5
"793",6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10,5
"711",6.1,0.25,0.24,12.1,0.046,51,172,0.998,3.35,0.45,9.5,5
"2067",7.7,0.28,0.29,4.3,0.051,25,142,0.9939,3.16,0.39,10.2,5
"3157",6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5
"440",6.2,0.35,0.04,1.2,0.06,23,108,0.9934,3.26,0.54,9.2,5
"4478",6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,5
"3246",7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8,5
"1891",7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5
"4053",6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,5
"1565",9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5
"192",6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5
"1167",6.1,0.45,0.27,0.8,0.039,13,82,0.9927,3.23,0.32,9.5,5
"1086",7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,5
"593",6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5
"1951",8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5
"4386",6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5,5
"4781",5.8,0.3,0.09,6.3,0.042,36,138,0.99382,3.15,0.48,9.7,5
"1789",8.2,0.36,0.29,7.6,0.035,37,122,0.9939,3.16,0.34,12,5
"3438",6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,5
"2502",6.4,0.31,0.4,6.4,0.039,39,191,0.99513,3.14,0.52,9.8,5
"2187",6.5,0.39,0.81,1.2,0.217,14,74,0.9936,3.08,0.53,9.5,5
"2104",6,0.27,0.15,1.5,0.056,35,128,0.9936,3.12,0.45,8.8,5
"3217",7.2,0.13,0.46,1.3,0.044,48,111,0.99127,2.97,0.45,11.1,5
"3270",6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,5
"3077",6.3,0.28,0.3,3.1,0.039,24,115,0.9942,3.05,0.43,8.6,5
"4852",6.4,0.33,0.44,8.9,0.055,52,164,0.99488,3.1,0.48,9.6,5
"2465",6,0.26,0.15,1.2,0.053,35,124,0.99347,3.08,0.46,8.8,5
"2018",9,0.55,0.3,8.1,0.026,14,71,0.993,2.94,0.36,11.8,5
"3388",7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2,5
"4782",5.6,0.3,0.1,6.4,0.043,34,142,0.99382,3.14,0.48,9.8,5
"2121",6.8,0.25,0.27,10.7,0.076,47,154,0.9967,3.05,0.38,9,5
"2188",6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,5
"2087",8.2,0.17,0.32,1.5,0.05,17,101,0.994,3.14,0.58,9.5,5
"2452",6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5
"1416",5.9,0.415,0.02,0.8,0.038,22,63,0.9932,3.36,0.36,9.3,5
"4017",7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,5
"698",7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5,5
"1939",7.2,0.16,0.35,1.2,0.031,27,84,0.9928,3.33,0.34,9.9,5
"4372",7,0.23,0.28,2.7,0.053,16,92,0.99372,3.18,0.56,9.3,5
"37",6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5
"4379",6.5,0.315,0.2,6.6,0.041,9,126,0.99494,2.94,0.51,8.8,5
"934",5.9,0.29,0.33,7.4,0.037,58,205,0.99495,3.26,0.41,9.6,5
"2397",8.4,0.3,0.25,17.75,0.047,25,218,1.00016,2.98,0.66,9.1,5
"1628",8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5
"1597",6.6,0.55,0.01,2.7,0.034,56,122,0.9906,3.15,0.3,11.9,5
"122",7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,5
"4192",7.8,0.27,0.35,1.2,0.05,36,140,0.99138,3.09,0.45,11.2,5
"1405",9,0.31,0.48,6.6,0.043,11,73,0.9938,2.9,0.38,11.6,5
"2568",6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5
"1890",7.6,0.15,0.4,1.3,0.036,24,112,0.9932,3.14,0.76,10,5
"3052",7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5
"339",5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4,5
"1945",6,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5
"2266",6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5
"2541",9,0.29,0.34,12.1,0.03,34,177,0.99706,3.13,0.47,10.6,5
"4327",7.4,0.38,0.34,8.3,0.052,44,168,0.99627,3.11,0.52,9.2,5
"1218",8,0.61,0.38,12.1,0.301,24,220,0.9993,2.94,0.48,9.2,5
"4077",7.4,0.37,0.26,9.6,0.05,33,134,0.99608,3.13,0.46,10.4,5
"3875",6.7,0.26,0.51,8,0.062,50,194,0.99545,3.13,0.5,9.6,5
"107",7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5
"927",5.4,0.595,0.1,2.8,0.042,26,80,0.9932,3.36,0.38,9.3,5
"820",6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5
"1466",7,0.2,0.74,0.8,0.044,19,163,0.9931,3.46,0.53,10.2,5
"85",7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5
"3701",7,0.3,0.27,1.5,0.076,24,145,0.99344,3.1,0.52,10.1,5
"262",6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,5
"3766",6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5
"573",6.7,0.34,0.54,16.3,0.047,44,181,0.9987,3.04,0.56,8.8,5
"2571",6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5
"1962",9.5,0.21,0.47,1.3,0.039,21,123,0.9959,2.9,0.64,9.5,5
"4296",7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,5
"2651",7,0.34,0.39,6.9,0.066,43,162,0.99561,3.11,0.53,9.5,5
"2952",7.2,0.2,0.22,1.6,0.044,17,101,0.99471,3.37,0.53,10,5
"1924",8.2,0.37,0.27,1.7,0.028,10,59,0.9923,2.97,0.48,10.4,5
"1977",6.8,0.28,0.37,7,0.057,35,208,0.9973,3.57,0.55,10.2,5
"2899",8.6,0.18,0.28,0.8,0.032,25,78,0.99104,2.99,0.38,11.1,5
"2914",7.7,0.18,0.3,1.2,0.046,49,199,0.99413,3.03,0.38,9.3,5
"2130",6.8,0.28,0.39,1.4,0.036,15,115,0.9918,3.27,0.72,11.7,5
"1974",7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,5
"1169",7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,5
"2284",7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5
"1584",6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5
"4172",6.6,0.22,0.37,1.6,0.04,31,101,0.99009,3.15,0.66,12,5
"1567",7.6,0.18,0.49,18.05,0.046,36,158,0.9996,3.06,0.41,9.2,5
"2156",7.8,0.29,0.33,8.75,0.035,33,181,0.9962,3.11,0.46,10.7,5
"3846",6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,5
"3050",7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5
"4084",6.2,0.3,0.32,1.2,0.052,32,185,0.99266,3.28,0.44,10.1,5
"1305",8,0.59,0.71,17.35,0.038,61,228,1,2.95,0.75,9.3,5
"1125",9.6,0.23,0.4,1.5,0.044,19,135,0.9937,2.96,0.49,10.9,5
"591",7.1,0.31,0.5,14.5,0.059,6,148,0.9983,2.94,0.44,9.1,5
"4401",7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5
"2199",7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5
"4883",5.5,0.32,0.13,1.3,0.037,45,156,0.99184,3.26,0.38,10.7,5
"926",6.3,0.27,0.23,2.9,0.047,13,100,0.9936,3.28,0.43,9.8,5
"2034",7.2,0.23,0.33,12.7,0.049,50,183,0.9987,3.41,0.4,9.8,5
"134",6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,5
"3800",7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,5
"2848",5.8,0.2,0.34,1,0.035,40,86,0.98993,3.5,0.42,11.7,5
"4204",6.2,0.3,0.32,1.3,0.054,27,183,0.99266,3.3,0.43,10.1,5
"3064",6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5
"3128",7.6,0.3,0.38,2.1,0.043,10,98,0.99296,3.17,0.65,11,5
"2405",9.8,0.16,0.46,1.8,0.046,23,130,0.99587,3.04,0.67,9.6,5
"4008",6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,5
"4038",7.3,0.34,0.22,1.4,0.044,43,176,0.99286,3.14,0.46,9.9,5
"4405",5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5
"571",7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5
"3941",6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3,5
"3784",6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,5
"2372",6.2,0.45,0.73,7.2,0.099,47,202,0.99582,3.21,0.43,9.2,5
"3327",6.6,0.17,0.28,1.8,0.042,62,178,0.99204,3.15,0.42,10.2,5
"1895",6.8,0.35,0.44,6.5,0.056,31,161,0.9952,3.14,0.44,9.5,5
"594",6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8,5
"2040",8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,5
"1338",6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5
"729",6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,5
"4217",7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5
"2634",7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,5
"2366",7.6,0.32,0.35,1.6,0.092,24,138,0.99438,3.19,0.44,9.8,5
"1848",7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,5
"1452",7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,5
"3807",7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,5
"2111",6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
"2642",6.1,0.15,0.35,15.8,0.042,55,158,0.99642,3.24,0.37,10.6,5
"910",7.5,0.24,0.31,13,0.049,46,217,0.9985,3.08,0.53,8.8,5
"3059",6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,5
"2611",6.3,0.27,0.46,11.1,0.053,44,177,0.99691,3.18,0.67,9.4,5
"2954",6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9,5
"2097",6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5
"2254",6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5
"2496",6.3,0.18,0.22,1.5,0.043,45,155,0.99238,3.19,0.48,10.2,5
"2126",6,0.28,0.22,12.15,0.048,42,163,0.9957,3.2,0.46,10.1,5
"4749",6.1,0.34,0.24,18.35,0.05,33,184,0.99943,3.12,0.61,9.3,5
"3421",7.6,0.28,0.49,20.15,0.06,30,145,1.00196,3.01,0.44,8.5,5
"3033",6.7,0.14,0.46,1.6,0.036,15,92,0.99264,3.37,0.49,10.9,5
"1769",6.6,0.37,0.07,1.4,0.048,58,144,0.9922,3.17,0.38,10,5
"707",6.2,0.31,0.21,6.3,0.041,50,218,0.9941,3.15,0.6,10,5
"1961",8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5
"2593",7.3,0.32,0.29,1.5,0.038,32,144,0.99296,3.2,0.55,10.8,5
"396",6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10,5
"2379",9.4,0.23,0.56,16.45,0.063,52.5,282,1.00098,3.1,0.51,9.3,5
"2462",8.2,0.26,0.33,2.6,0.053,11,71,0.99402,2.89,0.49,9.5,5
"2540",6.2,0.27,0.18,1.5,0.028,20,111,0.99228,3.41,0.5,10,5
"2877",6.4,0.22,0.31,13.9,0.04,57,135,0.99672,3.21,0.38,10.7,5
"2396",7,0.27,0.29,3.9,0.059,28,199,0.9961,3.54,0.59,10.3,5
"4833",5.9,0.32,0.26,1.5,0.057,17,141,0.9917,3.24,0.36,10.7,5
"1139",9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,5
"1423",5.3,0.165,0.24,1.1,0.051,25,105,0.9925,3.32,0.47,9.1,5
"1008",5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,5
"701",8.4,0.4,0.7,13.1,0.042,29,197,0.998,3.06,0.64,9.7,5
"2053",6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5
"3733",7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,5
"318",6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5
"2514",6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,5
"957",7.5,0.32,0.26,1.8,0.042,13,133,0.9938,3.07,0.38,9.5,5
"4773",6.4,0.28,0.45,8.6,0.057,47,223,0.99654,3.16,0.51,9.1,5
"63",7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,5
"609",6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5,5
"670",6.4,0.24,0.5,11.6,0.047,60,211,0.9966,3.18,0.57,9.3,5
"2124",6.8,0.25,0.27,10.7,0.076,47,154,0.9967,3.05,0.38,9,5
"2574",6.3,0.34,0.36,4.9,0.035,31,185,0.9946,3.15,0.49,9.7,5
"2812",7.4,0.3,0.32,1.7,0.03,23,128,0.9929,3.17,0.66,10.9,5
"203",6.9,0.54,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6,5
"1847",7.6,0.26,0.58,7.9,0.041,62,180,0.9966,3.07,0.38,9,5
"2550",7.5,0.2,0.47,16.9,0.052,51,188,0.99944,3.09,0.62,9.3,5
"2068",7.6,0.29,0.29,4.4,0.051,26,146,0.9939,3.16,0.39,10.2,5
"2712",5.6,0.2,0.22,1.3,0.049,25,155,0.99296,3.74,0.43,10,5
"3900",6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6,5
"2042",5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5
"2893",6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9,5
"539",6.1,0.24,0.3,1.5,0.045,22,61,0.992,3.31,0.54,10.4,5
"1526",7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,5
"344",5.4,0.31,0.47,3,0.053,46,144,0.9931,3.29,0.76,10,5
"2332",7.5,0.3,0.32,1.4,0.032,31,161,0.99154,2.95,0.42,10.5,5
"763",6.8,0.24,0.49,19.3,0.057,55,247,1.00055,3,0.56,8.7,5
"278",7.7,0.26,0.4,1.1,0.042,9,60,0.9915,2.89,0.5,10.6,5
"621",6.5,0.46,0.41,16.8,0.084,59,222,0.9993,3.18,0.58,9,5
"4328",6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,5
"1950",6.7,0.31,0.44,6.7,0.054,29,160,0.9952,3.04,0.44,9.6,5
"4199",7.9,0.36,0.53,12.9,0.049,63,139,0.99792,2.94,0.45,9.1,5
"4846",6.6,0.38,0.29,2.4,0.136,15,93,0.99336,3.18,0.6,9.5,5
"4508",5.1,0.305,0.13,1.75,0.036,17,73,0.99,3.4,0.51,12.3333333333333,5
"3321",7.5,0.29,0.36,15.7,0.05,29,124,0.9968,3.06,0.54,10.4,5
"3122",7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,5
"1806",7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5
"1172",8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,5
"253",6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5
"3792",6.5,0.26,0.5,8,0.051,46,197,0.99536,3.18,0.47,9.5,5
"2476",7.4,0.56,0.09,1.5,0.071,19,117,0.99496,3.22,0.53,9.8,5
"2308",6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,5
"2698",7,0.18,0.37,1.5,0.043,16,104,0.99216,3.18,0.5,10.8,5
"2131",7,0.35,0.24,1.9,0.04,21,144,0.9923,3.35,0.38,11,5
"1960",8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5
"1885",6.4,0.22,0.32,7.9,0.029,34,124,0.9948,3.4,0.39,10.2,5
"2801",6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2,5
"2113",6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
"1537",8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,5
"1339",6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5
"211",5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,5
"3848",6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,5
"966",8.3,0.23,0.43,3.2,0.035,14,101,0.9928,3.15,0.36,11.5,5
"3532",6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2,5
"2822",6.6,0.4,0.46,6.2,0.056,42,241,0.9968,3.5,0.6,9.9,5
"483",5.8,0.25,0.24,13.3,0.044,41,137,0.9972,3.34,0.42,9.5,5
"2808",7.5,0.18,0.72,9.6,0.039,53,151,0.99802,3.03,0.46,8.9,5
"2622",6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,5
"3767",6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5
"2313",9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5
"4620",6.4,0.62,0.12,4.7,0.06,33,196,0.99556,3.22,0.48,8.9,5
"2596",8.2,0.52,0.34,1.2,0.042,18,167,0.99366,3.24,0.39,10.6,5
"1058",7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,5
"4154",6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,5
"485",6.2,0.37,0.3,6.6,0.346,79,200,0.9954,3.29,0.58,9.6,5
"1048",7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5
"2633",6.8,0.44,0.2,16,0.065,61,186,0.99884,3.13,0.45,8.6,5
"3925",8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,5
"4245",7.6,0.36,0.48,13.5,0.038,44,116,0.9982,3.04,0.48,9.2,5
"4226",6.2,0.345,0.27,10.1,0.056,38,187,0.99486,3.31,0.56,10.6,5
"1324",6.2,0.2,0.26,1.7,0.093,40,161,0.9924,3.44,0.66,11,5
"4404",5.2,0.22,0.46,6.2,0.066,41,187,0.99362,3.19,0.42,9.73333333333333,5
"4400",6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4,5
"1356",7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4,5
"216",5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5
"4239",6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,5
"103",6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,5
"3221",9,0.38,0.53,2.1,0.102,19,76,0.99001,2.93,0.57,12.9,5
"565",6.8,0.51,0.3,4.2,0.066,38,165,0.9945,3.2,0.42,9.1,5
"2303",6,0.26,0.18,7,0.055,50,194,0.99591,3.21,0.43,9,5
"194",6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,5
"330",7.2,0.21,0.41,1.3,0.036,33,85,0.992,3.17,0.51,10.4,5
"2205",7.6,0.27,0.33,2,0.059,19,175,0.9944,3.22,0.56,9.9,5
"1443",8,0.25,0.49,1.2,0.061,27,117,0.9938,3.08,0.34,9.4,5
"2179",7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,5
"4411",5.7,0.24,0.47,6.3,0.069,35,182,0.99391,3.11,0.46,9.73333333333333,5
"165",6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,5
"213",7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5
"4061",6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10,5
"3801",8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,5
"4295",7.4,0.22,0.28,9,0.046,22,121,0.99468,3.1,0.55,10.8,5
"4479",6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,5
"3938",6.5,0.36,0.36,6.7,0.185,51.5,151,0.99528,3.17,0.42,9.3,5
"2228",7.7,0.27,0.61,12,0.046,64,179,0.9982,3.07,0.46,8.9,5
"3439",6.7,0.3,0.44,18.5,0.057,65,224,0.99956,3.11,0.53,9.1,5
"3482",5.8,0.22,0.3,1.1,0.047,36,131,0.992,3.26,0.45,10.4,5
"1781",8.4,0.17,0.31,5.4,0.052,47,150,0.9953,3.24,0.38,9.8,5
"3062",6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5
"1151",6.9,0.32,0.17,7.6,0.042,69,219,0.9959,3.13,0.4,8.9,5
"3521",6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,5
"2114",5.7,0.33,0.15,1.9,0.05,20,93,0.9934,3.38,0.62,9.9,5
"3894",7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,5
"1846",7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,5
"3926",8.6,0.22,0.33,1.2,0.031,38,95,0.99239,2.83,0.31,10.3,5
"2896",6.4,0.44,0.26,2,0.054,20,180,0.9952,3.58,0.57,10,5
"2807",7.5,0.17,0.71,11.8,0.038,52,148,0.99801,3.03,0.46,8.9,5
"1858",8.9,0.34,0.34,1.6,0.056,13,176,0.9946,3.14,0.47,9.7,5
"3079",7.1,0.28,0.35,3.5,0.028,35,91,0.99022,2.96,0.33,12.1,5
"3791",6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,5
"3262",6.3,0.32,0.32,1.5,0.03,24,101,0.98923,3.21,0.42,13,5
"2953",6.1,0.27,0.25,1.8,0.041,9,109,0.9929,3.08,0.54,9,5
"4416",6.3,0.305,0.22,16,0.061,26,141,0.99824,3.08,0.5,9.1,5
"1114",7.4,0.18,0.4,1.6,0.047,22,102,0.9937,3.28,0.44,10.7,5
"15",8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5
"2497",8.6,0.23,0.25,11.3,0.031,13,96,0.99645,3.11,0.4,10.8,5
"2304",6.9,0.44,0.18,11.8,0.051,26,126,0.9975,3.23,0.48,9.1,5
"322",6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5
"166",7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,5
"1711",8.1,0.31,0.24,1.6,0.032,10,67,0.9924,3.08,0.47,10.5,5
"2935",5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,5
"1902",7.4,0.21,0.3,7.9,0.039,14,118,0.9942,2.96,0.34,10.4,5
"1148",8.9,0.34,0.32,1.3,0.041,12,188,0.9953,3.17,0.49,9.5,5
"83",7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,5
"3950",6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3,5
"4730",6.8,0.32,0.43,1.6,0.05,4,65,0.99346,3.27,0.47,10.7,5
"1368",7.6,0.27,0.24,3.8,0.058,19,115,0.9958,3.15,0.45,8.9,5
"2367",7.4,0.33,0.44,7.6,0.05,40,227,0.99679,3.12,0.52,9,5
"469",7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5
"2358",8.9,0.21,0.37,1.2,0.028,20,93,0.99244,3.2,0.37,11.5,5
"706",8.6,0.27,0.46,6.1,0.032,13,41,0.993,2.89,0.34,10.9,5
